step 0: train loss 10.6895, val loss 10.6778 
iter 0: loss 10.6813, time 387977.50ms, mfu -100.00%  
iter 1: loss 10.6263, time 7808.16ms, mfu -100.00%  
iter 2: loss 10.6392, time 8527.99ms, mfu -100.00%  
iter 3: loss 10.5445, time 6782.70ms, mfu -100.00%  
iter 4: loss 10.3895, time 6417.91ms, mfu -100.00%  
iter 5: loss 10.4151, time 6639.50ms, mfu 15.38%  
iter 6: loss 10.3402, time 7203.84ms, mfu 15.26%  
iter 7: loss 10.3689, time 6532.64ms, mfu 15.29%  
iter 8: loss 10.0654, time 6182.16ms, mfu 15.41%  
iter 9: loss 10.0814, time 8305.57ms, mfu 15.10%  
iter 10: loss 10.2539, time 8879.85ms, mfu 14.74%  
iter 11: loss 9.7742, time 7319.32ms, mfu 14.66%  
iter 12: loss 9.7785, time 6842.47ms, mfu 14.69%  
iter 13: loss 9.9467, time 6349.75ms, mfu 14.83%  
iter 14: loss 9.8022, time 6249.57ms, mfu 14.98%  
iter 15: loss 9.7651, time 6684.13ms, mfu 15.01%  
iter 16: loss 9.7049, time 6555.60ms, mfu 15.06%  
iter 17: loss 9.7424, time 4082.98ms, mfu 16.06%  
iter 18: loss 9.6032, time 5456.59ms, mfu 16.32%  
iter 19: loss 9.6173, time 6067.00ms, mfu 16.37%  
iter 20: loss 9.7242, time 9599.42ms, mfu 15.80%  
iter 21: loss 9.0702, time 7374.85ms, mfu 15.60%  
iter 22: loss 9.1764, time 6510.34ms, mfu 15.61%  
iter 23: loss 9.6555, time 5668.04ms, mfu 15.85%  
iter 24: loss 9.0932, time 6982.19ms, mfu 15.73%  
iter 25: loss 9.5909, time 6189.91ms, mfu 15.80%  
iter 26: loss 9.1807, time 6093.44ms, mfu 15.90%  
iter 27: loss 9.1072, time 6825.74ms, mfu 15.81%  
iter 28: loss 8.7645, time 8809.15ms, mfu 15.38%  
iter 29: loss 9.3548, time 15817.95ms, mfu 14.49%  
iter 30: loss 8.8313, time 7580.98ms, mfu 14.39%  
iter 31: loss 8.7732, time 6700.81ms, mfu 14.47%  
iter 32: loss 8.7429, time 7321.64ms, mfu 14.42%  
iter 33: loss 8.8569, time 7253.93ms, mfu 14.39%  
iter 34: loss 8.7503, time 8999.99ms, mfu 14.08%  
iter 35: loss 8.8273, time 7593.70ms, mfu 14.02%  
iter 36: loss 8.9735, time 8430.94ms, mfu 13.83%  
iter 37: loss 8.4712, time 6312.30ms, mfu 14.06%  
iter 38: loss 8.6446, time 6542.49ms, mfu 14.22%  
